id,code,message,screen_name
1182055392974721029,63,User has been suspended.,HenryMarott
1142036399576821760,63,User has been suspended.,TheWarBlackjack
808313083013775360,63,User has been suspended.,BoudicaThe
3111445731,63,User has been suspended.,ElPuebloPty
2934282126,63,User has been suspended.,CARTOONISThugo
950361668877455360,63,User has been suspended.,JR10170033
48292159,63,User has been suspended.,daily_hate_mail
1144973532537004034,63,User has been suspended.,FoxtrotOscar118
54503794,63,User has been suspended.,HenryHoerder
1217520455013130240,63,User has been suspended.,RecordingAcad
2526569442,63,User has been suspended.,Papichi505
3074039856,63,User has been suspended.,MMAisBoring
270930301,63,User has been suspended.,alam_42
1185090167071109120,63,User has been suspended.,VehementRedhead
3550890192,63,User has been suspended.,SassyODaisy
1213215702481395712,63,User has been suspended.,GIass_Onion
1004136583652618247,63,User has been suspended.,FirstChoiceUK
1228393391421054976,63,User has been suspended.,Muhamma92184073
316495761,63,User has been suspended.,ERyatscoff
1258831196479504384,63,User has been suspended.,teresawonline
1251564240890146816,63,User has been suspended.,elaprendiz2050
979827815972573185,63,User has been suspended.,GeraldKanter1
1063545620,63,User has been suspended.,victor99_m
525859969,63,User has been suspended.,the_dude_abides
35424249,63,User has been suspended.,AJyanksatlas
810556677741309952,63,User has been suspended.,odd_opinions5
1166755649482645504,63,User has been suspended.,AlwaysThink12
49794620,63,User has been suspended.,YNHallak
746484920,63,User has been suspended.,dbznd
1182845801313308674,63,User has been suspended.,1Aplus2A
1188575697197027329,63,User has been suspended.,ric_pickle
33973135,63,User has been suspended.,FreeToTweet1975
1232753186483527680,63,User has been suspended.,vegimike
1176598998871941126,63,User has been suspended.,DemsBeUnhinged
1104142243865214976,63,User has been suspended.,Arzutraa
2529907022,63,User has been suspended.,ArfaKaKhanam
1075060723536064512,63,User has been suspended.,d63228428
1121478593618554880,63,User has been suspended.,DohringMartin
2226074874,63,User has been suspended.,DarrylBain1967
707170047173636096,63,User has been suspended.,indian_lineman
100239630,63,User has been suspended.,jmontagna4
18259256,63,User has been suspended.,mmlinke1
195790897,63,User has been suspended.,shawnwatson5
4568421388,63,User has been suspended.,KarenKFolques
4575191953,63,User has been suspended.,KStylePodcast
811361538535604224,63,User has been suspended.,Rick95648
1006113822254526465,63,User has been suspended.,Jc1381A
898570536027955204,63,User has been suspended.,YusufAh96534552
1188395388463656960,63,User has been suspended.,NotTheMacAnon1
706927801945853952,63,User has been suspended.,SolelyPolitics
3105416541,63,User has been suspended.,revmarks2
1098364068417679360,63,User has been suspended.,GinaBeNICE1
237966510,63,User has been suspended.,lovesgarrison
324014572,63,User has been suspended.,BarrNunnn
804196047660650496,63,User has been suspended.,VinVictory777
1179180232395218945,63,User has been suspended.,LavenderONeal1
264928711,63,User has been suspended.,szorowitz
1194682700231299072,63,User has been suspended.,senatorshoshana
217584824,63,User has been suspended.,blancorios1900
305221581,63,User has been suspended.,MasiyaletiMbewe
