id,user
1149966576172408832,Health_O_Food
962725727950049281,theworldinnews
1920749882,rpstranslations
20729327,sputnik_fr
403181776,AgriculturaFM
402557031,Drumpomag1
741622961170440192,Reporte_Indigo
170642110,seacok2
132480999,BangkokPostNews
742213273211142144,oie1718
16951434,PMLOnline
2862151648,manatelugumovie
114508061,SZ
3236872443,MarcrixNoticias
2470284584,MubeenS08509347
113274295,Libertarian_Hub
1653727837,covid_au
2188909855,BuxxNews
30833263,desktrading
198524760,lhprovlampung
1618565935,PN_Peine
1217188375808995329,descifradocom
31720614,suluhmediaOL
1228177164912054274,canalN_
42287898,laprensa
178876880,TheChestnutPost
2473747392,rcooley123
1183570970054807552,RajaP69090794
1245932165302374407,Radio_Zocalo
1199228196115353600,khpintl
151281359,sonneyjo
898237439193489408,covesiacom
20282000,RudyWow28152987
69178458,AcerboLivio
2163072423,Rechtsuniversum
989136978380804097,BGuantheng
1097895289866772481,EZvarowski
1221435520594653184,ReporteActivo
55387749,soy_502
58834961,fa_noticias
138388479,ND_mais_
396720801,AbzaBudi
288077673,SACHKAHOON
1103795794006573056,CoronaVirusCall
1248247482636787712,CoronaVirusCall
81783530,ForensicPsyMD
930797192083922945,thepressmv
9294762,caiohostilio
20925446,eesanjenews
1247087720528134144,Nice_Matin
443168589,GoRiauCom
1237521310546382853,aim_agencia
12413892,ecd_
327592094,pictanews
1168863555439009793,unedited01
86565297,apetrazzuolo
255138816,DelJenkins10
841664078,JWin802
1239742479743823882,filsdu_soleil
1227501708374265856,wartakotalive
3343856714,CoterraneosG
791569205380444161,Gummbyman32
75496420,televizyonlakay
1189390633057701888,AlGhadTV
288241918,CkdHumas
1088672588,polsekcibatuPWK
865884431076044801,sfastlicht
229334332,technology_tis
1639701578,DyaneOrsa
265710881,Unionradionet
763901401785372672,LatestNewsHub1
3167865988,Hiperenlazados
1032986340797960192,COVIDLiveFeed
912646231532417025,KVajpayaee
17849506,nouvelles2025
309880750,El_DiarioMx
299741917,Genpi_Co
1223752876822028288,BloGoalcom
4571814261,alcalorpolitico
14715075,RepublicaNepal
3987873695,ladh
161420743,tcomer4418
17622198,News_aus_HH
1297695680,snoopbee1
4025552435,teresa_pnp
1108956544475947008,tuitdepor
39566949,solusnan1
1203327532008902657,dronechris75
715176496005038080,SafeHomeDiy
2545554128,AGazetaES
398976557,AconteceJG
503239202,HorrillSusan
354168059,_covid_19_bot_
1266505285696438272,TfsNewsdotcom
702041030,FunnyLittleBaby
840361697369964544,amnewslive
3142919739,SozcuDunya
108310621,UltraTextual
1040021880,420cashcrop
495780767,gabcampaniello
551446885,FOCUS_TopNews
20563513,elimpulsocom
285678312,calciomercato_m
85355294,ElMundoSV
1207073141249466373,JdLuxemburgo
1259792807738306562,SET_Noticias
204481211,tifatait
118509623,nairaland
1181487705764618241,ilmessaggeroit
2950909691,chestnut_daniel
155674026,videos_year
1363083624,Marilinmorante
18917594,MediaHabercom
144894262,JapanNews24X7
3106565906,TuiterPro
80894808,PapooTx
930560309844172800,pratiksarambal1
868007548586274816,Qaumi_Awaz
386232029,briefcy
4896540189,noticialminuto
1209326491,Newscoza
2330641778,asdfcell
604533372,RQuks
1088416214,polsekpasjam2
1047116008484429826,FmBolivia
1623857378,newsclickngr
261300364,LimaAlDia
129306477,AMXNoticias
1193572097538195456,ncdn_negocios
123673439,Cadena3Com
340825754,interfaxua
244218738,SinEmbargoMX
205971568,up_again
791728234421428225,eloncecom
876863947617513473,kashmirpen
585149352,FAZ_Top
957193093001904128,ExpresoPeru
319218210,ev3ponies
3178197002,scottf6f
140915822,Punto_deCorte
2914144864,sports_boo
837981504,NewsWingNews
1004027465755488256,xnewsid
46668976,periodicoaragon
1101804295144370177,Agus376757
833733476373377024,hwnewsmarathi
1159189340561530881,ultimenotizie
888689476511432704,rejectpetitions
483691344,courageousgirl2
1019077765541322753,pototanilo2PNP
3304500437,emsavalles
4807713257,AllThingsWSB
1122554636483710976,mathrubhuminews
4755037817,sedlacek_d
1352915461,Contracts
16086855,diciradio
3122211,SinEmbargoMX
1124237597428068354,noticias4vision
720534432109707264,tedjosaputro2
598319603,juan091248
621294933,moybycom
3237109164,cronicajalisco
404389897,noticiasdcampos
956536476874895360,msncl
18767833,venezuelahoy_
176176031,LaManyanacat
1188030089096646657,PemdaKabJember
1243352024772751361,ZHKannada
1219568179149705218,defumat
1240390302420152320,Berita7dotid
2161201950,ileoncom
383829277,LiveEdges
1001460734189031424,CoachingBridges
341164773,22thabs
174325631,PrahaarNews
165408714,Difusion365
880262202535550976,MehanstarkNews
153082849,tmcbondowoso
1242307373873557505,LosArticulistas
8129032,monngonmoingay3
1168043884246515712,noticiascyl
1083161875397914624,mediafulltv
1223594266624049154,SOLQR
119750943,SuresteSur
172047459,cronachecampane
2772260052,OfficialVoK
1113778642541326336,ComarcalCV
109319019,revistaforum
1206371980427104256,colmant_
966983910788759553,SiasatToday
1182346073312055296,MeanProgress
1052681821769498624,DKashmirimages
4639018735,Lajme365
2784308211,eyemagistus
29224288,HgHermann
15776423,InfoTextual
270196028,PTV_Noticias
2471373550,antikorua
1223984886719008768,beafricainfo
505829284,OmNoticiasAr
148549671,24Newsorder
1599663121,andi_achilles
823223305431826434,SedgeNew
137282671,Techinfinityli1
2530553016,RepartoDigital
367626839,BettyEyes
328762425,puntoporpunto
617029017,ahoradigital1
19811643,uatime_net
798388993566056448,COVID19_SL
562017666,yonghuasupply
817210309618364416,BsAsAhora
17803524,SZ_TopNews
1966396326,RRNoticiasqro
844182986333605888,NEWSFORFOREX1
22839036,Patrick30373175
4635975621,PandemicIntel
276948267,MoLulkowski
1294195728,polresjembrana
