screen_name,score
pamnsc,0.9964
riikka_kevo,0.0328
gummibear737,0.6908
pudgenet,0.9836
AnitaWarren2,0.4331
Styx666Official,0.5932
rickrow,0.0085
jnordvig,0.5226
alexkx3,0.9425
Concern_UMatter,0.5964
CDCgov,0.2053
genghisgalahad2,0.8441
pcrritesgood,0.9945
Mahesh_Devnani,0.6000
JamesSurowiecki,0.8757
brill_leah,0.3121
LevyLoiseau,0.9983
koslen_bambi,0.8873
sesiegler,0.9520
JoePajak,0.0871
genereaux2019,0.9882
howeasyweforget,0.9802
jallen1985,0.1286
mariemcinerney,0.6214
InProportion2,Error
trcfwtt,0.9708
janerle2002,0.9408
sass_byname,0.9851
hey_leia,0.9130
AlejandroSig,0.2815
garland_paige,0.1698
lauferlaw,0.9988
Alicia_Smith19,0.0445
mattdpearce,0.1063
BarristersHorse,0.9880
Alan_G_Smith_BC,0.9986
fmbutt,0.9039
GHS,0.3044
postofficetruth,0.1084
briciosegovia,0.2064
AnooBhu,0.0461
trawetsla,0.9158
ps9714,0.9753
lrozen,0.9651
AlexanderKaty,0.9290
__philipn__,0.9210
HarrySpoelstra,0.9669
electricboyo,0.8947
4everNeverTrump,0.8121
goshofar,0.6884
jonathanjewel,0.1141
browp20,Error
Awithonelison,0.8932
jkaynet,0.9843
AafkeVultink,0.9905
UntergrundmannG,0.1741
a_haema,0.3712
usnehal,0.5161
DearPandemic,0.0278
KEBrightbill,0.9880
ksush73,0.9170
meganranney,0.2678
