screen_name,score
NuestraMerida,0.0473
dakaractu,0.0889
LaStampa,0.6119
dontbeinsane_,0.9772
VirusTrend,0.0108
sakshisamachar,0.0899
PeruNewsTV,0.3868
Newsdailyng1,0.5933
SDSUgrad1983,0.9996
tngreports,0.3858
KUWTAofficial,0.0690
marquesinap,0.8414
eldestapeweb,0.0275
yespunjab,0.5784
LeQuotidien_Cyb,0.7638
MSNAustralia,0.1524
rancheritaxemu,0.3237
COVID19BrUpdate,0.3130
DiariodeMorelos,0.4736
thengblogg,0.7075
RatikWaraTftt,0.0701
dicenlosmedios,0.0871
times2in,0.0070
RCVHonduras,0.9111
DiarioContraste,0.1519
eThingsToDo1,0.1206
lavozdetarija,0.1418
PolemicaParaiba,0.0003
lavoixdelest,0.7062
proudCanadavet,0.9979
CiberCuba,0.6455
doorbulletin,0.0299
FinancialBrand,0.0583
WikiScene_Infos,0.1107
OoizumiGakuenNV,0.9992
Agencia_Andina,0.0625
Record_Portugal,0.0359
avpnews_live,0.0670
LeSiteInfoFR,0.7675
Dataemia,0.2737
clin_owl,Error
bostonherald,0.9810
2Polsek,0.0438
SputnikInt,0.9397
PrameyaEnglish,0.0162
SetmanariEbre,0.3195
timesfastnews,0.9211
gentecosmotv,0.1720
dgift_jp,0.4725
ELRobotAmarillo,0.5428
oneonlinemv,0.2268
SmorfiaDigitale,0.6199
blogrobsonpires,0.0600
Dogruhaber,0.8931
tunota_com,0.0663
elprogreso_Lugo,0.6215
ltravel395,0.0115
itajainfo,0.0005
asiaonecom,0.6104
Covid19Briefing,0.9904
RadioPuntoGT,0.0464
euronewsgr,0.0188
elperiodic,0.0954
europa_sur,0.6697
LaNetaNeta_,0.3434
Rosalin77610005,0.0115
elsurdeguerrero,0.0106
UncleJamhoriat,0.0502
ContactoHoy,0.0396
Avilared,0.1193
ndtvrecordtv,0.0033
elciudadanoweb,0.1322
elboletinmadrid,0.2940
Ben_s214,0.1770
gccmovil,0.4111
pulsopoliticoax,0.4577
CovidBot1,0.0403
minamaya13,0.4768
fontanabuona,0.5940
DonSinoptico,0.9883
deonnain,0.9949
ZoroDailyNews,0.3498
AristeguiOnline,0.0163
MalaysiaGazette,0.0044
